,id,address,province,location,location_aed,latitude,longitude,available,hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
10880,12604,vaandelstraat,west-vlaanderen,Kaartersclubhuisje Paradijs - aan de voorkant,"vaandelstraat,8930.0,rekkem,Belgium",50.7615078,3.1757592,Oui-Ja,,,,,,,,
10881,12605,heirweg,west-vlaanderen,Ingang personeel (Arbeiders),"heirweg,8710.0,wielsbeke (sint baafs vijve),Belgium",50.92215,3.3764087,Non-Nee,7u30 - 17 u.,,,,,,,
10882,12606,sint-jozefsplein,west-vlaanderen,Aan de voorkant links,"sint-jozefsplein,8930.0,menen,Belgium",50.7888972,3.131811,Oui-Ja,,,,,,,,
10883,12606,baron de maerelaan,west-vlaanderen,Gevel,"baron de maerelaan,8380.0,zeebrugge,Belgium",51.3183055,3.1865094,Oui-Ja,,,,,,,,
10884,12608,place des celestines ,namur,Entree,"place des celestines ,5000.0,namur ,Belgium",50.4657985,4.8708922,Non-Nee,,,,,,,,
10885,12609,kapellestraat,antwerpen,"Tegen de buitenmuur onder een afdak.
Aan de hoofdingang van het gebouw.","kapellestraat,2400.0,mol - ginderbuiten,Belgium",51.1974363,5.1254559,Oui-Ja,,,,,,,,
10886,12609,rue kefer,namur,Rez De Chaussee ,"rue kefer,5100.0,jambes ,Belgium",50.460392,4.8741253,Non-Nee,,,,,,,,
10887,12610, rue kefer,namur,5ieme Etage ," rue kefer,5100.0,jambes ,Belgium",50.460392,4.8741253,Non-Nee,,,,,,,,
10888,12611,dulle-grietlaan,oost-vlaanderen,Buiten in het portaal van het bedrijf bedrijf Trevi NV,"dulle-grietlaan,9050.0,gentbrugge,Belgium",51.0454078,3.7501484,Oui-Ja,,,,,,,,
10889,12611,markt,antwerpen,Koer 2,"markt,2400.0,mol,Belgium",51.1837238,5.114513,Non-Nee,8-16h,,,,,,,
10890,12612,schoolstraat,limburg,Buitenkast op begane grond,"schoolstraat,3680.0,maaseik-opoeteren,Belgium",51.0680824,5.6496294,Oui-Ja,,,,,,,,
10891,12612,"rue du champ de mars 23, 1050, ixelles, belgique",vlaams-brabant,à droite de la réception,"rue du champ de mars 23, 1050, ixelles, belgique,1050.0,ixelles,Belgium",50.8384217,4.366067399999999,Non-Nee,du lundi au vendredi de 8h00 à 17h00,,,,,,,
10892,12613,sionstraat,limburg,"AED toestel hangt langs de toog in de cafetaria van  het WZC, De Maaspoorte. ","sionstraat,3680.0,maaseik,Belgium",51.0945809,5.7958759,Non-Nee,"winterperiode: 8h00 - 19h00, zomerperiode: 8h00 - 21h00",,,,,,,
10893,12613,dynamicalaan,antwerpen,Eerste verdieping in de gang naar de keuken,"dynamicalaan,2610.0,wilrijk,Belgium",51.1563354,4.3784117,Non-Nee,,,,,,,,
10894,12614,van eycklaan,limburg,"Gelijkvloers, in trappenhal naast de balie","van eycklaan,3680.0,maaseik,Belgium",51.0995679,5.7893022,Non-Nee,,,,,,,,
10895,12614,handelsstraat ,vlaams-brabant,SALLE DE SPORT ,"handelsstraat ,1930.0,zaventem,Belgium",50.88707,4.47387,Oui-Ja,,,,,,,,
10896,12615,grote steenweg ,antwerpen,Aanwezig in de beide showrooms,"grote steenweg ,2240.0,geel,Belgium",51.1157401,4.9433304,Non-Nee,maandag t.e.m. vrijdag: 09u00 – 18u00 zaterdag: 10u00 – 18u00 zon -en feestdagen: 13u00 – 17u00,,,,,,,
10897,12615,rue de rotterdam ,liege,Hall d entrée,"rue de rotterdam ,4000.0,liege,Belgium",50.630359,5.5668533,Non-Nee,En fonction des horaires d occupation des lieux,,,,,,,
10898,12616,rue du sceptre,bruxelles-brussel,Accueil,"rue du sceptre,1050.0,bruxelles,Belgium",50.8338293,4.3771456,Non-Nee,,,,,,,,
10899,12616,enclus du haut ,hainaut,Façade Avant de la Maison des Randonneurs,"enclus du haut ,7750.0,orroir,Belgium",50.75745,3.48221,Oui-Ja,,,,,,,,
10900,12617,rue de la natation ,bruxelles-brussel,Local infirmerie,"rue de la natation ,1050.0,ixelles,Belgium",50.8320497,4.3793654,Piscine en travaux pour l instant,,,,,,,,
10901,12617,rue des marais,hainaut,Mur Extérieur du Bâtiment foot. Près des Vestiaires,"rue des marais,7750.0,amougies,Belgium",50.7431229,3.5185934,Oui-Ja,,,,,,,,
10902,12618,pastorijstraat,antwerpen,Buitengevel sporthal - aan de voordeur,"pastorijstraat,2590.0,berlaar,Belgium",51.119811,4.6749795,Oui-Ja,,,,,,,,
10903,12619,stationsplein,antwerpen,Buitengevel oude stationsgebouw - tegenwoordig een cultuurcafé,"stationsplein,2590.0,berlaar,Belgium",51.1136041,4.6394478,Oui-Ja,,,,,,,,
10904,12620,aarschotsebaan,antwerpen,buitengevel dokterspraktijk Atlas,"aarschotsebaan,2590.0,berlaar,Belgium",51.0847782,4.6553867,Oui-Ja,,,,,,,,
10905,12621,rue piraumont,brabant wallon,"Dans le cabinet de kinésithérapie de Piraumont Rehab et Training
Au rez-de-chaussée","rue piraumont,1495.0,sart-dames-avelines,Belgium",50.5589513,4.4740043,Heure de bureau en semaine,,,,,,,,
10906,12622,zur morscheck,liege,Rez de chaussée du bâtiment administratif,"zur morscheck,4770.0,amel,Belgium",50.3543793,6.1683691,Non-Nee,8-17H en semaine (pas le w-e),,,,,,,
10907,12623,kleine havertuin ,oost-vlaanderen,BUITEN AAN DE MUUR VAN DE ONTMOETINGSRUIMTE,"kleine havertuin ,9090.0,melle,Belgium",50.9980548,3.7911541,Oui-Ja,24/24,,,,,,,
10908,12624,rue de rochefort,namur,Entrée du bureau au rez de chaussée du point de vente,"rue de rochefort,5570.0,beauraing,Belgium",50.126858,5.0082597,Oui-Ja,7h00-19h00,,,,,,,
10909,12625,dorpsstraat,limburg,buiten naast de inkomdeur,"dorpsstraat,3990.0,peer,Belgium",51.1532569,5.5060945,Oui-Ja,,,,,,,,
10910,12626,weyerstraat,limburg,buiten naast de inkomdeur,"weyerstraat,3990.0,peer,Belgium",51.1664787,5.5074009,Oui-Ja,,,,,,,,
10911,12627,bisschoppenhoflaan ,antwerpen,"gelijkvloers, gang voorbij inkomhal","bisschoppenhoflaan ,2100.0,deurne,Belgium",51.2312891,4.450466,zie rooster,"Maandag-donderdag 06u00 - 22u00, vrijdag 06u00 - 16u00, weekend gesloten",,,,,,,
10912,12628,grauwmeer,vlaams-brabant,In de inkomhal van de onderneming,"grauwmeer,3001.0,heverlee,Belgium",50.8490537,4.7234797,,,,,,,,,
10913,12629,ambachtenlaan,vlaams-brabant,In de productiefaciliteiten van de onderneming,"ambachtenlaan,3001.0,leuven,Belgium",50.848691,4.7182558,,,,,,,,,
10914,12630,route dachene ,namur,,"route dachene ,5561.0,celles,Belgium",50.2447522,5.0217249,,,,,,,,,
10915,12631,rue forgeur ,liege,reception ,"rue forgeur ,4000.0,liege ,Belgium",50.6347506,5.5716348,Non-Nee,,,,,,,,
10916,12632,rode kruisstraat,oost-vlaanderen,Vrije Ateliers,"rode kruisstraat,9100.0,sint-niklaas,Belgium",51.175222,4.1445861,Non-Nee,"8u tot 10u, Zondag gesloten",,,,,,,
10917,12640,everstraat ,bruxelles-brussel,Binnen,"everstraat ,1140.0,evere,Belgium",50.8747945,4.4033913,Non-Nee,,,,,,,,
